path,audio,sentence
/zhome/2f/8/153764/Desktop/final/test_dataset_baby/0.wav,/zhome/2f/8/153764/Desktop/final/test_dataset_baby/0.wav,optager mindre
/zhome/2f/8/153764/Desktop/final/test_dataset_baby/1.wav,/zhome/2f/8/153764/Desktop/final/test_dataset_baby/1.wav,og hvad sker der nu og hvad sker der nu
/zhome/2f/8/153764/Desktop/final/test_dataset_baby/2.wav,/zhome/2f/8/153764/Desktop/final/test_dataset_baby/2.wav,mor hvem er de efter de der sørøvere
/zhome/2f/8/153764/Desktop/final/test_dataset_baby/3.wav,/zhome/2f/8/153764/Desktop/final/test_dataset_baby/3.wav,han peger bare ud med sit sværd han vil nok springei ud vandet
/zhome/2f/8/153764/Desktop/final/test_dataset_baby/4.wav,/zhome/2f/8/153764/Desktop/final/test_dataset_baby/4.wav,kan heller ikke kan det der heller ikke fægte mere så
/zhome/2f/8/153764/Desktop/final/test_dataset_baby/5.wav,/zhome/2f/8/153764/Desktop/final/test_dataset_baby/5.wav,det gør biler åhr det passer ikke nogen vegne her
/zhome/2f/8/153764/Desktop/final/test_dataset_baby/6.wav,/zhome/2f/8/153764/Desktop/final/test_dataset_baby/6.wav,hvem har og hvad gør han så
/zhome/2f/8/153764/Desktop/final/test_dataset_baby/7.wav,/zhome/2f/8/153764/Desktop/final/test_dataset_baby/7.wav,er han er han den stærkeste ham der
/zhome/2f/8/153764/Desktop/final/test_dataset_baby/8.wav,/zhome/2f/8/153764/Desktop/final/test_dataset_baby/8.wav,jeg tror det er ham der hvem tror du der
/zhome/2f/8/153764/Desktop/final/test_dataset_baby/9.wav,/zhome/2f/8/153764/Desktop/final/test_dataset_baby/9.wav,har alle dem med ham der hvorfor gør de det
/zhome/2f/8/153764/Desktop/final/test_dataset_baby/10.wav,/zhome/2f/8/153764/Desktop/final/test_dataset_baby/10.wav,hvem er hvem er det der skal fængsel  jeg tror det er et fængsel
/zhome/2f/8/153764/Desktop/final/test_dataset_baby/11.wav,/zhome/2f/8/153764/Desktop/final/test_dataset_baby/11.wav,nej jeg vil jeg vil hvad er det mor med træ og Mickey på et fængsel ind til en port
/zhome/2f/8/153764/Desktop/final/test_dataset_baby/12.wav,/zhome/2f/8/153764/Desktop/final/test_dataset_baby/12.wav,tror du ikke det se alle musene
/zhome/2f/8/153764/Desktop/final/test_dataset_baby/13.wav,/zhome/2f/8/153764/Desktop/final/test_dataset_baby/13.wav,hvorfor kan mus det kan vi ikke det
/zhome/2f/8/153764/Desktop/final/test_dataset_baby/14.wav,/zhome/2f/8/153764/Desktop/final/test_dataset_baby/14.wav,det er jo et blad hvorfor stikker de deres sværd ind den der
/zhome/2f/8/153764/Desktop/final/test_dataset_baby/15.wav,/zhome/2f/8/153764/Desktop/final/test_dataset_baby/15.wav,mor gider du læsei den ja det gjorde det
/zhome/2f/8/153764/Desktop/final/test_dataset_baby/16.wav,/zhome/2f/8/153764/Desktop/final/test_dataset_baby/16.wav,her og hvad tror du så den her den passer til
/zhome/2f/8/153764/Desktop/final/test_dataset_baby/17.wav,/zhome/2f/8/153764/Desktop/final/test_dataset_baby/17.wav,sådan og så kommer isene
/zhome/2f/8/153764/Desktop/final/test_dataset_baby/18.wav,/zhome/2f/8/153764/Desktop/final/test_dataset_baby/18.wav,så kommer Minnies hovede ja hvad skulle du ellers
/zhome/2f/8/153764/Desktop/final/test_dataset_baby/19.wav,/zhome/2f/8/153764/Desktop/final/test_dataset_baby/19.wav,lige så kommer den den kommer her
/zhome/2f/8/153764/Desktop/final/test_dataset_baby/20.wav,/zhome/2f/8/153764/Desktop/final/test_dataset_baby/20.wav,nu skal vi have alt det med Minnie på det er fødderne
/zhome/2f/8/153764/Desktop/final/test_dataset_baby/21.wav,/zhome/2f/8/153764/Desktop/final/test_dataset_baby/21.wav,hvad nå så kom den der hvad er det her også noget af Mickey
/zhome/2f/8/153764/Desktop/final/test_dataset_baby/22.wav,/zhome/2f/8/153764/Desktop/final/test_dataset_baby/22.wav,så er det nok Mickey her nej ha glat side ligge her
/zhome/2f/8/153764/Desktop/final/test_dataset_baby/23.wav,/zhome/2f/8/153764/Desktop/final/test_dataset_baby/23.wav,ja så mangler vi fødder det er her
/zhome/2f/8/153764/Desktop/final/test_dataset_baby/24.wav,/zhome/2f/8/153764/Desktop/final/test_dataset_baby/24.wav,jeg vil ikke med træer og Mickeys hånd jeg tror nok den skal være der
/zhome/2f/8/153764/Desktop/final/test_dataset_baby/25.wav,/zhome/2f/8/153764/Desktop/final/test_dataset_baby/25.wav,det skulle den også så nu er vi kommet langt mor
/zhome/2f/8/153764/Desktop/final/test_dataset_baby/26.wav,/zhome/2f/8/153764/Desktop/final/test_dataset_baby/26.wav,nu skal du hjælpe i nej det er der der
/zhome/2f/8/153764/Desktop/final/test_dataset_baby/27.wav,/zhome/2f/8/153764/Desktop/final/test_dataset_baby/27.wav,hvad er det her tror du det er noget af hans fødder der så
/zhome/2f/8/153764/Desktop/final/test_dataset_baby/28.wav,/zhome/2f/8/153764/Desktop/final/test_dataset_baby/28.wav,nå nu mangler vi kun en det skal være noget med Mickeys fødder der
/zhome/2f/8/153764/Desktop/final/test_dataset_baby/29.wav,/zhome/2f/8/153764/Desktop/final/test_dataset_baby/29.wav,og hvad er det der så de her de passer sammen mor
/zhome/2f/8/153764/Desktop/final/test_dataset_baby/30.wav,/zhome/2f/8/153764/Desktop/final/test_dataset_baby/30.wav,noget af hans nå nu er vi ikke jeg tror nok den skal være sådan
/zhome/2f/8/153764/Desktop/final/test_dataset_baby/31.wav,/zhome/2f/8/153764/Desktop/final/test_dataset_baby/31.wav,ja jeg kigger også på nå så er den færdig sådan
/zhome/2f/8/153764/Desktop/final/test_dataset_baby/32.wav,/zhome/2f/8/153764/Desktop/final/test_dataset_baby/32.wav,prøv at se her kig den du skal læse i
/zhome/2f/8/153764/Desktop/final/test_dataset_baby/33.wav,/zhome/2f/8/153764/Desktop/final/test_dataset_baby/33.wav,du skal læse mor ja men mor du kan da du skal da heller ikke læse dertil vel
/zhome/2f/8/153764/Desktop/final/test_dataset_baby/34.wav,/zhome/2f/8/153764/Desktop/final/test_dataset_baby/34.wav,Sir Kaar
/zhome/2f/8/153764/Desktop/final/test_dataset_baby/35.wav,/zhome/2f/8/153764/Desktop/final/test_dataset_baby/35.wav,nej nej det kan du også
/zhome/2f/8/153764/Desktop/final/test_dataset_baby/36.wav,/zhome/2f/8/153764/Desktop/final/test_dataset_baby/36.wav,abekat se der der det er også
/zhome/2f/8/153764/Desktop/final/test_dataset_baby/37.wav,/zhome/2f/8/153764/Desktop/final/test_dataset_baby/37.wav,hvorfor gør han så det det ved jeg ikke
/zhome/2f/8/153764/Desktop/final/test_dataset_baby/38.wav,/zhome/2f/8/153764/Desktop/final/test_dataset_baby/38.wav,han ser altså gal ud hvad så med der hvad
/zhome/2f/8/153764/Desktop/final/test_dataset_baby/39.wav,/zhome/2f/8/153764/Desktop/final/test_dataset_baby/39.wav,nå se nej det ser ikke lækkert ud
/zhome/2f/8/153764/Desktop/final/test_dataset_baby/40.wav,/zhome/2f/8/153764/Desktop/final/test_dataset_baby/40.wav,spiser ham ja så skal vi have den her
/zhome/2f/8/153764/Desktop/final/test_dataset_baby/41.wav,/zhome/2f/8/153764/Desktop/final/test_dataset_baby/41.wav,så får han noget der hvad er det
/zhome/2f/8/153764/Desktop/final/test_dataset_baby/42.wav,/zhome/2f/8/153764/Desktop/final/test_dataset_baby/42.wav,åhå se den er kommet bur haha nej det er nok aberne
/zhome/2f/8/153764/Desktop/final/test_dataset_baby/43.wav,/zhome/2f/8/153764/Desktop/final/test_dataset_baby/43.wav,hvorfor gør han det hvad siger han hvad
/zhome/2f/8/153764/Desktop/final/test_dataset_baby/44.wav,/zhome/2f/8/153764/Desktop/final/test_dataset_baby/44.wav,sådan hvad siger han mor
/zhome/2f/8/153764/Desktop/final/test_dataset_baby/45.wav,/zhome/2f/8/153764/Desktop/final/test_dataset_baby/45.wav,og hvad siger slangen så ja men hvorfor hvorfor hjælper den den ikke hvad
/zhome/2f/8/153764/Desktop/final/test_dataset_baby/46.wav,/zhome/2f/8/153764/Desktop/final/test_dataset_baby/46.wav,sider der er kanten nej det gør den ikke
/zhome/2f/8/153764/Desktop/final/test_dataset_baby/47.wav,/zhome/2f/8/153764/Desktop/final/test_dataset_baby/47.wav,hvorfor ser de sådan ud jo det kan han så for nu kommer slangen
/zhome/2f/8/153764/Desktop/final/test_dataset_baby/48.wav,/zhome/2f/8/153764/Desktop/final/test_dataset_baby/48.wav,og hvad gør slangen nu er han ikke bange mere for slangen
/zhome/2f/8/153764/Desktop/final/test_dataset_baby/49.wav,/zhome/2f/8/153764/Desktop/final/test_dataset_baby/49.wav,prøv at se de laver sådan et hvor de kan sidde i ahn
/zhome/2f/8/153764/Desktop/final/test_dataset_baby/50.wav,/zhome/2f/8/153764/Desktop/final/test_dataset_baby/50.wav,skal vi se hvad der er denne her en ræv
/zhome/2f/8/153764/Desktop/final/test_dataset_baby/51.wav,/zhome/2f/8/153764/Desktop/final/test_dataset_baby/51.wav,hund for det er noget med træet
/zhome/2f/8/153764/Desktop/final/test_dataset_baby/52.wav,/zhome/2f/8/153764/Desktop/final/test_dataset_baby/52.wav,sommerfugl hvad tror du alle de dyr der er flere
/zhome/2f/8/153764/Desktop/final/test_dataset_baby/53.wav,/zhome/2f/8/153764/Desktop/final/test_dataset_baby/53.wav,den der behøves jeg ikke at sigei for det har jeg sagt rødspætte sagde jeg
/zhome/2f/8/153764/Desktop/final/test_dataset_baby/54.wav,/zhome/2f/8/153764/Desktop/final/test_dataset_baby/54.wav,en hakker den hakker også
/zhome/2f/8/153764/Desktop/final/test_dataset_baby/55.wav,/zhome/2f/8/153764/Desktop/final/test_dataset_baby/55.wav,en fugl nu kommer der en lille ræveunge
/zhome/2f/8/153764/Desktop/final/test_dataset_baby/56.wav,/zhome/2f/8/153764/Desktop/final/test_dataset_baby/56.wav,en lille ræveunge en lille ræveunge og blød
